identifier,predicted to frameshift?,predicted probability,predicted %GFP
41948,no,0.290450960398,1.46338033676
48124,yes,0.816339313984,2.44401025772
42121,yes,0.516334295273,2.53009152412
46470,yes,0.816339313984,2.44401025772
38062,no,0.323999524117,1.92519760132
41047,yes,0.516334295273,2.53009152412
41493,yes,0.816339313984,2.44401025772
41970,yes,0.816339313984,2.44401025772
38910,no,0.290450960398,1.46338033676
38884,no,0.290450960398,1.46338033676
47053,yes,0.816339313984,2.44401025772
41916,no,0.290450960398,1.46338033676
41973,yes,0.816339313984,2.44401025772
39371,no,0.290450960398,1.46338033676
45567,yes,0.816339313984,2.44401025772
39716,yes,0.516334295273,2.53009152412
37559,no,0.307550281286,1.14123773575
42886,no,0.290450960398,1.46338033676
43575,yes,0.816339313984,2.44401025772
41487,yes,0.816339313984,2.44401025772
47976,no,0.290450960398,1.46338033676
45697,yes,0.816339313984,2.44401025772
42107,yes,0.516334295273,2.53009152412
40760,yes,0.816339313984,2.44401025772
42140,yes,0.516334295273,2.53009152412
38924,no,0.290450960398,1.46338033676
40749,yes,0.516334295273,2.53009152412
43263,no,0.290450960398,1.46338033676
44707,yes,0.816339313984,2.44401025772
37550,no,0.323999524117,1.92519760132
45966,yes,0.516334295273,2.53009152412
40608,yes,0.516334295273,2.53009152412
41174,yes,0.816339313984,2.44401025772
46505,yes,0.516334295273,2.53009152412
42013,yes,0.816339313984,2.44401025772
39859,no,0.323999524117,1.92519760132
38171,no,0.354521006346,1.58644413948
37557,no,0.264305979013,1.4979121685
44760,yes,0.816339313984,2.44401025772
43316,yes,0.816339313984,2.44401025772
38005,no,0.264305979013,1.4979121685
40485,yes,0.516334295273,2.53009152412
46423,yes,0.816339313984,2.44401025772
37503,no,0.445531785488,2.35693717003
39385,no,0.290450960398,1.46338033676
45941,yes,0.516334295273,2.53009152412
42078,no,0.290450960398,1.46338033676
46445,yes,0.816339313984,2.44401025772
39257,no,0.290450960398,1.46338033676
38055,no,0.359171122313,1.07825827599
46475,yes,0.816339313984,2.44401025772
44569,yes,0.516334295273,2.53009152412
43260,yes,0.816339313984,2.44401025772
45970,yes,0.516334295273,2.53009152412
47972,no,0.290450960398,1.46338033676
44851,yes,0.816339313984,2.44401025772
37599,yes,0.517698585987,2.77841162682
42045,no,0.290450960398,1.46338033676
43764,yes,0.516334295273,2.53009152412
38023,no,0.391596585512,1.23488819599
38880,no,0.290450960398,1.46338033676
42956,yes,0.516334295273,2.53009152412
37558,no,0.277717709541,0.76905632019
39427,no,0.290450960398,1.46338033676
37524,no,0.104473017156,0.981294035912
39749,yes,0.516334295273,2.53009152412
40887,yes,0.516334295273,2.53009152412
43291,no,0.290450960398,1.46338033676
44112,yes,0.816339313984,2.44401025772
45939,yes,0.516334295273,2.53009152412
44065,yes,0.816339313984,2.44401025772
44746,yes,0.816339313984,2.44401025772
41139,yes,0.516334295273,2.53009152412
39636,no,0.323999524117,1.92519760132
43000,yes,0.516334295273,2.53009152412
45274,yes,0.516334295273,2.53009152412
41445,yes,0.516334295273,2.53009152412
40466,yes,0.816339313984,2.44401025772
45949,yes,0.516334295273,2.53009152412
41341,yes,0.816339313984,2.44401025772
40467,yes,0.816339313984,2.44401025772
41443,yes,0.516334295273,2.53009152412
39752,yes,0.516334295273,2.53009152412
42147,yes,0.516334295273,2.53009152412
45269,yes,0.516334295273,2.53009152412
37505,no,0.374616861343,2.32808685303
41929,no,0.290450960398,1.46338033676
41048,yes,0.516334295273,2.53009152412
40108,yes,0.516334295273,2.53009152412
38935,no,0.290450960398,1.46338033676
44067,yes,0.816339313984,2.44401025772
44731,yes,0.816339313984,2.44401025772
41989,yes,0.816339313984,2.44401025772
41149,yes,0.516334295273,2.53009152412
45008,yes,0.816339313984,2.44401025772
39416,no,0.290450960398,1.46338033676
43777,yes,0.516334295273,2.53009152412
45271,yes,0.516334295273,2.53009152412
45738,yes,0.516334295273,2.53009152412
41972,yes,0.816339313984,2.44401025772
39870,no,0.323999524117,1.92519760132
42889,no,0.290450960398,1.46338033676
42115,yes,0.516334295273,2.53009152412
44750,yes,0.816339313984,2.44401025772
40611,yes,0.516334295273,2.53009152412
40012,yes,0.816339313984,2.44401025772
42914,no,0.290450960398,1.46338033676
41172,yes,0.816339313984,2.44401025772
41039,yes,0.816339313984,2.44401025772
43324,yes,0.816339313984,2.44401025772
38930,no,0.290450960398,1.46338033676
43356,yes,0.816339313984,2.44401025772
39583,no,0.323999524117,1.92519760132
46521,yes,0.516334295273,2.53009152412
42051,no,0.290450960398,1.46338033676
39739,yes,0.516334295273,2.53009152412
42942,no,0.290450960398,1.46338033676
41334,yes,0.816339313984,2.44401025772
42939,no,0.290450960398,1.46338033676
42909,yes,0.516334295273,2.53009152412
45698,yes,0.816339313984,2.44401025772
40125,yes,0.516334295273,2.53009152412
37492,no,0.0786060243845,0.764816761017
43352,yes,0.816339313984,2.44401025772
43348,yes,0.816339313984,2.44401025772
45132,no,0.290450960398,1.46338033676
41327,yes,0.816339313984,2.44401025772
46436,yes,0.816339313984,2.44401025772
42002,yes,0.816339313984,2.44401025772
45115,yes,0.816339313984,2.44401025772
42966,yes,0.516334295273,2.53009152412
40604,yes,0.516334295273,2.53009152412
39419,no,0.290450960398,1.46338033676
44747,yes,0.816339313984,2.44401025772
41033,yes,0.816339313984,2.44401025772
44853,yes,0.816339313984,2.44401025772
42903,no,0.290450960398,1.46338033676
38925,no,0.290450960398,1.46338033676
38904,no,0.290450960398,1.46338033676
41974,yes,0.816339313984,2.44401025772
42129,yes,0.516334295273,2.53009152412
45543,yes,0.816339313984,2.44401025772
43577,yes,0.816339313984,2.44401025772
44122,yes,0.516334295273,2.53009152412
42993,yes,0.516334295273,2.53009152412
42895,no,0.290450960398,1.46338033676
40721,yes,0.516334295273,2.53009152412
45239,yes,0.816339313984,2.44401025772
42106,yes,0.516334295273,2.53009152412
45931,yes,0.516334295273,2.53009152412
42946,yes,0.516334295273,2.53009152412
45768,yes,0.516334295273,2.53009152412
44565,yes,0.516334295273,2.53009152412
45268,yes,0.516334295273,2.53009152412
38916,yes,0.676770031452,1.76109027863
39868,no,0.323999524117,1.92519760132
47054,yes,0.816339313984,2.44401025772
43001,yes,0.516334295273,2.53009152412
42085,no,0.290450960398,1.46338033676
